id,first_name,second_name,web_name,element_type,now_cost,minutes,chance_of_playing_next_round,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,team_code,team,avg_minutes,form,predicted_performance,weighted_score,is_starter
54,Morgan,Rogers,Rogers,3,5.5,2424,100.0,7,7,6,36,0,0,0,8,0,0,13,397,550.0,550.6,533.0,163.4,29,4.75,3.71,8.46,36.46,124,0.0,7,2,83.58620689655173,1.0,0.0,209.48,True
70,Milos,Kerkez,Kerkez,2,5.3,2627,100.0,2,6,6,38,0,0,0,4,0,0,8,431,590.8,469.9,201.0,126.2,30,0.52,2.0,2.52,39.87,106,0.0,91,3,90.58620689655173,2.2545454502105713,42.9,207.1511,True
78,Antoine,Semenyo,Semenyo,3,5.7,2555,100.0,7,5,7,35,0,0,0,9,0,0,7,407,585.0,571.2,1023.0,217.2,29,8.27,3.94,12.21,37.67,113,0.0,91,3,88.10344827586206,2.1818182468414307,36.52,208.50363,True
88,Nathan,Collins,Collins,2,4.5,2700,100.0,2,5,5,47,0,0,0,4,0,0,5,407,823.0,121.3,254.0,119.9,30,2.28,1.23,3.51,47.26,91,0.0,94,4,93.10344827586206,1.8909090757369995,22.4,200.06381,False
99,Bryan,Mbeumo,Mbeumo,3,8.1,2695,100.0,16,6,6,45,0,0,0,2,0,0,25,732,956.6,843.7,815.0,261.8,30,10.1,7.12,17.21,46.35,187,1.0,94,4,92.93103448275862,1.0,0.0,267.76,True
110,Yoane,Wissa,Wissa,4,6.6,2201,100.0,13,4,6,35,0,0,0,2,0,0,23,547,599.8,294.1,855.0,174.2,26,13.76,1.47,15.22,36.24,137,0.0,94,4,75.89655172413794,1.0,12.26,207.56,False
235,Jordan,Pickford,Pickford,1,5.1,2700,100.0,0,1,9,37,0,2,0,6,0,88,10,445,795.2,20.3,0.0,81.4,30,0.0,0.18,0.18,36.68,119,0.0,11,8,93.10344827586206,1.2727272510528564,8.46,219.79546,False
236,James,Tarkowski,Tarkowski,2,4.9,2691,100.0,1,1,9,37,0,0,0,5,0,0,7,417,801.6,164.5,196.0,116.7,30,1.14,1.96,3.1,36.68,96,0.0,11,8,92.79310344827586,1.0,15.96,202.95,True
255,Antonee,Robinson,Robinson,2,4.9,2628,100.0,0,10,5,39,0,0,0,7,0,0,8,446,780.8,638.0,180.0,160.1,29,0.7,3.56,4.26,34.29,99,0.0,54,9,90.62068965517241,1.1272727251052856,39.88,201.96054,False
328,Mohamed,Salah,M.Salah,3,13.8,2660,100.0,27,17,13,27,0,0,0,1,0,0,51,1038,1443.8,931.3,1716.0,408.9,30,21.52,7.04,28.56,25.59,309,1.0,14,12,91.72413793103448,1.0909091234207153,1.06,352.65182,True
366,Bruno,Borges Fernandes,B.Fernandes,3,8.6,2465,100.0,8,11,8,38,0,0,0,2,2,0,25,687,891.4,1106.0,510.0,250.3,29,8.7,5.71,14.41,39.76,154,1.0,1,14,85.0,1.7272727489471436,17.8,233.00455,True
401,Alexander,Isak,Isak,4,9.5,2118,75.0,20,5,8,34,0,0,0,1,0,0,33,728,909.8,484.8,1034.0,242.1,26,16.08,3.16,19.24,30.03,177,1.0,4,15,73.03448275862068,1.0,18.1,231.81,True
443,Matz,Sels,Sels,1,5.1,2700,100.0,0,1,13,35,0,0,0,2,0,94,11,454,734.6,10.1,0.0,74.9,30,0.0,0.07,0.07,36.16,133,1.0,17,16,93.10344827586206,1.454545497894287,18.22,229.7791,True
447,Chris,Wood,Wood,4,7.2,2343,75.0,18,3,14,29,0,0,0,1,0,0,37,668,744.0,225.4,762.0,173.3,28,10.9,1.08,11.98,30.04,174,1.0,17,16,80.79310344827586,2.545454502105713,56.56,241.3009,True
573,Nikola,Milenkovic,Milenković,2,5.0,2610,100.0,4,2,13,34,0,0,0,4,0,0,2,422,616.2,83.8,311.0,100.9,29,3.63,0.66,4.29,34.94,126,1.0,17,16,90.0,1.1090909242630005,22.2,220.22618,True
